stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
"Sulzbach, Bahnhof",,REG_306791,49.576206,8.656112,1.0,
Sulzbach-Rosenberg,,REG_315563,49.499477,11.739283,1.0,
Sulzbach-Rosenberg,315563.0,REG_619485,49.499477,11.739277,,
Sulzbachtal,358321.0,REG_603934,49.522743,7.663672,,
"Sulzbachtal, Bahnhof",,REG_358321,49.52259,7.66368,1.0,
Sulzberg,,REG_545639,47.675213,10.363935,1.0,
Sulzberg,545639.0,REG_131046,47.675213,10.363935,,
Sulzfeld (Baden),,REG_124517,49.108185,8.852583,1.0,
Sulzfeld(Baden),124517.0,REG_79736,49.108173,8.852544,,
Svatava,,REG_534061,50.1906,12.624193,1.0,
Svatava,534061.0,REG_82492,50.1906,12.624193,,
Svatava zastavka,,REG_361587,50.197296,12.607995,1.0,
Svatava zastavka,361587.0,REG_132762,50.197296,12.607995,,
Svor,,REG_366191,50.790524,14.59297,1.0,
Svor,366191.0,REG_203589,50.790478,14.59253,,
Swinoujscie Centrum,,REG_240973,53.914337,14.234157,1.0,
Swinoujscie Centrum,240973.0,REG_136034,53.914337,14.234157,,
Swisttal Odendorf Bf,,REG_21506,50.651157,6.879757,1.0,
Swisttal-Odendorf,21506.0,REG_194101,50.65116,6.879764,,
Sychrov,,REG_611059,50.629086,15.078662,1.0,
Sychrov,611059.0,REG_265398,50.629074,15.07842,,
Syke,,REG_428881,52.916527,8.809813,1.0,
Syke,428881.0,REG_603399,52.916397,8.809608,,
Syrau,389806.0,REG_142659,50.54477,12.085313,,
"Syrau, Bahnhof",,REG_389806,50.544937,12.08517,1.0,
Syrenov,,REG_64023,50.51345,15.43674,1.0,
Syrenov,64023.0,REG_94283,50.51345,15.43674,,
Sythen,525832.0,REG_129238,51.77176,7.226526,,
Szczecin Gumience,,REG_630312,53.397747,14.494864,1.0,
Szczecin Gumience,630312.0,REG_478101,53.397747,14.494864,,
Szklarska Poreba Gorna (Bahnhof),,REG_38393,50.832542,15.519079,1.0,
Szklarska Poreba Gorna (Bahnhof),38393.0,REG_200146,50.832542,15.519079,,
Szklarska Poreba Huta,,REG_412414,50.82661,15.496918,1.0,
Szklarska Poreba Huta,412414.0,REG_376314,50.82661,15.496918,,
Sättelstädt,353571.0,REG_312709,50.94398,10.4825,,
Sättelstädt (Bushaltestelle),,REG_353571,50.94398,10.4825,1.0,
Söllingen (b. Karlsruhe),,REG_100843,48.987904,8.543445,1.0,
Söllingen Kapellenstraße,,REG_338973,48.983917,8.549635,1.0,
Söllingen Kapellenstraße,338973.0,REG_431662,48.983955,8.549618,,
